"AAPG Bulletin","AAPG Bull."
"Solid State Nuclear Magnetic Resonance","Solid State Nucl. Magn. Reson."
"Solid State Sciences","Solid State Sci."
"Solid-State Electronics","Solid-State Electron."
"Solvent Extraction and Ion Exchange","Solvent Extr. Ion Exch."
"Source Code for Biology and Medicine","Source Code Biol. Med."
"South African Journal of Botany","S. Afr. J. Bot."
"South African Journal of Chemical Engineering","S. Afr. J. Chem. Eng."
"South African Journal of Chemistry","S. Afr. J. Chem."
"South African Journal of Enology and Viticulture","S. Afr. J. Enol. Vitic."
"South African Journal of Geology","S. Afr. J. Geol."
"South African Journal of Industrial Engineering","S. Afr. J. Ind. Eng."
"South African Journal of Science","S. Afr. J. Sci."
"Soviet Journal of Quantum Electronics","Sov. J. Quantum Electron."
"Space Research Today","Space Res. Today"
"Space Science Reviews","Space Sci. Rev."
"Special Discussions of the Faraday Society","Spec. Discuss. Faraday Soc."
"Spectra Analyse","Spectra Anal."
"Spectra Biologie","Spectra Biol."
"Spectrochimica Acta","Spectrochim. Acta"
"Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy","Spectrochim. Acta, Part A"
"Spectrochimica Acta Part B: Atomic Spectroscopy","Spectrochim. Acta, Part B"
"Spectroscopic Properties of Inorganic and Organometallic Compounds","Spectrosc. Prop. Inorg. Organomet. Compd."
"Spectroscopy Asia","Spectrosc. Asia"
"Spectroscopy Europe","Spectrosc. Eur."
"Spectroscopy Letters","Spectrosc. Lett."
"Speculations in Science and Technology","Speculations Sci. Technol."
"Spill Science and Technology Bulletin","Spill Sci. Technol. Bull."
"Sports Engineering","Sports Eng."
"Springer Series in Chemical Physics","Springer Ser. Chem. Phys."
"Springer Series in Materials Science","Springer Ser. Mater. Sci."
"Springer Series in Opical Sciences","Springer Ser. Opt. Sci."
"Springer Series in Solid-State Sciences","Springer Ser. Solid-State Sci."
"Steel Construction - Design and Research","Steel Constr. Des. Res."
"Steel Research International","Steel Res. Int."
"Stochastics and Dynamics","Stochastics Dyn."
"Stratigraphy and Geological Correlation","Stratigr. Geol. Correl."
"Strength of Materials","Strength Mater."
"Structural Chemistry","Struct. Chem."
"Structural Design of Tall and Special Buildings","Struct. Des. Tall Special Build."
"Structural Safety","Struct. Saf."
"Structure and Bonding","Struct. Bond."
"Structure and Infrastructure Engineering","Struct. Infrastruct. Eng."
"Student und Praktikant","Stud. Prakt."
"Studia Geophysica et Geodaetica","Stud. Geophys. Geod."
"Studies in Applied Mathematics","Stud. Appl. Math."
"Studies in Conservation","Stud. Conserv."
"Studies in Natural Products Chemistry","Stud. Nat. Prod. Chem."
"Studies in Surface Science and Catalysis","Stud. Surf. Sci. Catal."
"Superconductor Science and Technology","Supercond. Sci. Technol."
"Superlattices and Microstructures","Superlattices Microstruct."
"Supramolecular Chemistry","Supramol. Chem."
"Supramolecular Photosensitive and Electroactive Materials","Supramol. Photosensit. Electroact. Mater."
"Supramolecular Science","Supramol. Sci."
"Surface Coatings International","Surf. Coat. Int."
"Surface Engineering","Surf. Eng."
"Surface Engineering and Applied Electrochemistry","Surf. Eng. Appl. Electrochem."
"Surface Review and Letters","Surf. Rev. Lett."
"Surface Science","Surf. Sci."
"Surface Science Letters","Surf. Sci. Lett."
"Surface Science Reports","Surf. Sci. Rep."
"Surface Science Spectra","Surf. Sci. Spectra"
"Surface and Coatings Technology","Surf. Coat. Technol."
"Surface and Interface Analysis","Surf. Interface Anal."
"Surveys in Geophysics","Surv. Geophys."
"Sustainability Science","Sustainability Sci."
"Swiss Journal of Geosciences","Swiss J. Geosci."
"Symposium (International) on Combustion","Symp. (Int.) Combust."
"Symposium of the Faraday Society","Symp. Faraday Soc."
"Synthesis and Reactivity in Inorganic and Metal-Organic Chemistry","Synth. React. Inorg. Met.-Org. Chem."
"Synthetic Biology","Synth. Biol."
"Synthetic Communications","Synth. Commun."
"Synthetic Fibers","Synth. Fibres"
"Synthetic Metals","Synth. Met."
"System & Control Letters","Syst. Control Lett."
"Systematic Biology","Syst. Biol."
"Systematic and Applied Microbiology","Syst. Appl. Microbiol."
"Systematics and Biodiversity","Syst. Biodivers."
"Systems Engineering - Theory & Practice","Syst. Eng. Theory Pract."
"THEOCHEM Journal of Molecular Structure","THEOCHEM"
"TRAC Trends in Analytical Chemistry","TrAC, Trends Anal. Chem."
"Tappi Journal","Tappi J."
"Technical Physics","Tech. Phys."
"Technical Physics Letters","Tech. Phys. Lett."
"Technical Quarterly & the MBAA Communicator","Tech. Q. MBAA Commun."
"Technical Quarterly - Master Brewers Association of the Americas","Tech. Q. Master Brew. Assoc. Am."
"Techniques de l'Ingenieur, Constantes Physico-Chimiques","Tech. Ing. Constantes Phys. Chim."
"Techniques de l'Ingenieur, Environnement","Tech. Ing. Environ."
"Techniques de l'Ingenieur, Genie Nuclear","Tech. Ing. Genie Nucl."
"Techniques de l'Ingenieur, Genie des Procede","Tech. Ing. Genie Procedes"
"Techniques de l'Ingenieur, Materiaux Fonctionnels","Tech. Ing. Mater. Fond."
"Techniques de l'Ingenieur, Materiaux Metalliques","Tech. Ing. Mater. Met."
"Techniques de l'Ingenieur, Plastiques et Composites","Tech. Ing. Plast. Compos."
"Techniques de l'Ingenieur, Sciences Fondamentales: Mathematiques pour l'Ingenieur","Tech. Ing. Sci. Fondam. Math. Ing."
"Techniques de l'Ingenieur, Sciences Fondamentales: Physique, Chemie","Tech. Ing. Sci. Fondam. Phys. Chim."
"Technische Mitteilungen","Tech. Mitt."
"Technische Uberwachung","Tech. Uberwach."
"Technisches Messen","Tech. Mess."
"Technology in Cancer Research and Treatment","Technol. Cancer Res. Treat."
"Tellus Series A","Tellus Ser. A"
"Tellus Series B","Tellus Ser. B"
"Terrestrial Magnetism","Terr. Magn."
"Terrestrial Magnetism and Atmospheric Electricity","Terr. Magn. Atmos. Electr."
"Tetrahedron Letters","Tetrahedron Lett."
"Tetrahedron: Asymmetry","Tetrahedron: Asymmetry"
"Textile Chemist and Colorist","Text. Chem. Color."
"Textile Chemist and Colorist & American Dyestuff Reporter","Text. Chem. Color. Am. Dyest Rep."
"Textile Progress","Text. Prog."
"Textile Research Journal","Text. Res. J."
"Textile Science and Technology","Text. Sci. Tech."
"Textile World","Text. World"
"Thai Journal of Pharmaceutical Sciences","Thai J. Pharm. Sci."
"The ANZIAM Journal","ANZIAM J."
"Theoretica Chimica Acta","Theor. Chim. Acta"
"Theoretical Chemistry Accounts","Theor. Chem. Acc."
"Theoretical Foundations of Chemical Engineering","Theor. Found. Chem. Eng."
"Theoretical and Applied Climatology","Theor. Appl. Climatol."
"Theoretical and Applied Fracture Mechanics","Theor. Appl. Fract. Mech."
"Theoretical and Computational Fluid Dynamics","Theor. Comput. Fluid Dyn."
"Theoretical and Experimental Chemistry","Theor. Exp. Chem."
"Theoretical and Mathematical Physics","Theor. Math. Phys."
"Theory and Practice of Logic Programming","Theory Pract. Logic Program."
"Thermal Engineering","Therm. Eng."
"Thermochimica Acta","Thermochim. Acta"
"Thermophysics and Aeromechanics","Thermophys. Aeromech."
"Thin Solid Films","Thin Solid Films"
"Thin Walled Structures","Thin Walled Struct."
"Tidsskrift for Kjemi, Bergvesen, og Metallurgi","Tidsskr. Kjemi Bergv. Metall"
"Tidsskrift for Skogbruk","Tidsskr. Skogbruk"
"Tijdschrift vor Klei, Glas en Keramiek","Tijd. Klei Glas Keram."
"Tire Science and Technology","Tire Sci. Technol."
"Tissue Engineering","Tissue Eng."
"Tissue Engineering Part A","Tissue Eng. Part A"
"Tissue Engineering Part B","Tissue Eng. Part B"
"Tissue Engineering Part C","Tissue Eng. Part C"
"Topics in Applied Physics","Top. Appl. Phys."
"Topics in Biological and Inorganic Chemistry","Top. Biol. Inorg. Chem."
"Topics in Catalysis","Top. Catal."
"Topics in Current Chemistry","Top. Curr. Chem."
"Topics in Fluorescence Spectroscopy","Top. Fluoresc. Spectrosc."
"Topics in Inorganic Chemistry","Top. Inorg. Chem."
"Topics in Organometallic Chemistry","Top. Organomet. Chem."
"Toxicologic Pathology","Toxicol. Pathol."
"Toxicological Sciences","Toxicol. Sci."
"Toxicological and Environmental Chemistry","Toxicol. Environ. Chem."
"Toxicology Letters","Toxicol. Lett."
"Toxicology and Applied Pharmacology","Toxicol. Appl. Pharmacol."
"Toxicology in Vitro","Toxicol. in Vitro"
"Trace Elements and Electrolytes","Trace Elem. Electrolytes"
"Traffic Injury Prevention","Traffic Inj. Prev."
"Transactions of Society of Mining Engineers","Trans. Soc. Min. Eng."
"Transactions of the ASABE","Trans. ASABE"
"Transactions of the American Institute of Electrical Engineers","Trans. Am. Inst. Electr. Eng."
"Transactions of the American Institute of Electrical Engineers Part 1: Communication and Electronics","Trans. Am. Inst. Electr. Eng. Part 1"
"Transactions of the American Institute of Electrical Engineers Part 2: Applications and Industry","Trans. Am. Inst. Electr. Eng. Part 2"
"Transactions of the American Institute of Electrical Engineers Part 3: Power Apparatus and Systems","Trans. Am. Inst. Electr. Eng. Part 3"
"Transactions of the American Institute of Metals","Trans. Am. Inst. Met."
"Transactions of the American Institute of Mining, Metallurgical and Petroleum Engineers","Trans. Am. Inst. Min. Metall. Pet. Eng."
"Transactions of the American Institute of Mining, Metallurgical and Petroleum Engineers, Society of Mining Engineers of AIME","Trans. Am. Inst. Min. Metall. Pet. Eng. Soc. Min. Eng. AIME"
"Transactions of the Egyptian Society of Chemical Engineers","Trans. Egypt. Soc. Chem. Eng."
"Transactions of the Faraday Society","Trans. Faraday Soc."
"Transactions of the Indian Institute of Metals","Trans. Indian Inst. Met."
"Transactions of the Institute of Measurement and Control","Trans. Inst. Meas. Control"
"Transactions of the Institution of Metal Finishing","Trans. Inst. Met. Finish."
"Transactions of the Institution of Mining and Metallurgy Section A","Trans. Inst. Min. Metall., Sect. A"
"Transactions of the Institution of Mining and Metallurgy Section B","Trans. Inst. Min. Metall., Sect. B"
"Transactions of the Institution of Mining and Metallurgy Section C: Mineral Processing and Extractive Metallurgy","Trans. Inst. Min. Metall., Sect. C"
"Transactions of the Japan Institute of Electronics Packaging","Trans. Jpn. Inst. Electron. Packag."
"Transactions of the Materials Research Society of Japan","Trans. Mater. Res. Soc. Jpn"
"Transactions of the Nonferrous Metals Society of China","Trans. Nonferrous Met. Soc. China"
"Transactions of the Optical Society","Trans. Opt. Soc."
"Transactions of the Royal Society of Canada","Trans. R. Soc. Can."
"Transactions of the Royal Society of Edinburgh Earth Science","Trans. R. Soc. Edinburgh: Earth Sci."
"Transactions of the SAEST","Trans. SAEST"
"Transactions of the Society for Advancement of Electrochemical Science and Technology","Trans. Soc. Adv. Electrochem. Sci. Technol."
"Transactions of the Society for Mining, Metallurgy, and Exploration","Trans. Soc. Min. Metall. Explor."
"Transactions of the Society of Mining Engineers of AIME","Trans. Soc. Min. Eng. AIME"
"Transition Metal Chemistry","Transition Met. Chem."
"Transport Theory and Statistical Physics","Transp. Theory Stat. Phys."
"Transport in Porous Media","Transp. Porous Media"
"Transportation Research","Transp. Res."
"Transportation Research Record","Transp. Res. Rec."
"Tree Physiology","Tree Physiol."
"Trends in Biochemical Sciences","Trends Biochem. Sci"
"Trends in Biotechnology","Trends Biotechnol."
"Trends in Ecology & Evolution","Trends Ecol. Evol."
"Trends in Endocrinology and Metabolism","Trends Endocrinol. Metab."
"Trends in Food Science and Technology","Trends Food Sci. Technol."
"Trends in Molecular Medicine","Trends Mol. Med."
"Trends in Pharmacological Sciences","Trends Pharmacol. Sci."
"Tribologie und Schmierungstechnik","Tribol. Schmierungstech."
"Tribology - Materials, Surfaces and & Interfaces","Tribol. Mater. Surf. Interfaces"
"Tribology International","Tribol. Int."
"Tribology Letters","Tribol. Lett."
"Tribology Transactions","Tribol. Trans."
"Tribology and Interface Engineering Series","Tribol. Interface Eng. Ser."
"Tsvetnaya Metally","Tsvetn. Met. (Moscow)"
"Tunnelling and Underground Space Technology","Tunnelling Underground Space Technol."
"Turkish Journal of Agriculture and Forestry","Turk. J. Agric. For."
"Turkish Journal of Chemistry","TUrk. J. Chem."
"Turkish Journal of Engineering and Environmental Science","Turk. J. Eng. Environ. Sci."
"U.S. Geological Survey Bulletin","U.S. Geol. Surv. Bull."
"U.S. Geological Survey Professional Paper","U.S. Geol. Surv. Prof. Pap."
"Ubersichten zur Tierernahrung","Ubersich. Tierernahr."
"Ukrainskii Fizicheskii Zhurnal","Ukr. Fiz. Zh."
"Ukrainskii Khimicheskii Zhurnal","Ukr. Khim. Zh."
"Ultrasonics Sonochemistry","Ultrason. Sonochem."
"Ultrasound in Medicine & Biology","Ultrasound Med. Biol."
"Umweltmedizine in Forschung und Praxis","Umweltmed. Forsch. Prax."
"Umweltwissenschaften und Schadstoff-Forschung","Umweltwiss. Schadst. Forsch."
"University Chemistry Education","Univ. Chem. Educ."
"Urological Research","Urol. Res."
"Uspekhi Khimii","Usp. Khim."
"Vadose Zone Journal","Vadose Zone J."
"Vakuum in Forschung und Praxis","Vak. Forsch. Prax."
"Vecteur Environnement","Vecteur Environ."
"Vehicle System Dynamics","Veh. Syst. Dyn."
"Verhandlungen - Internationale Vereinigung fur Theoretische und Angewandte Limnologie","Verh. Int. Ver. Theor. Angew. Limnol."
"Verhandlungen der Deutschen Physikalischen Gesellschaft","Verh. Dtsch. Phys. Ges."
"Vibrational Spectroscopy","Vib. Spectrosc."
"Vistas in Astronomy","Vistas in Astron."
"Vox Sanguinis","Vox Sang."
"WIT Transactions on Ecology and the Environment","WIT Trans. Ecol. Environ."
"WIT Transactions on Engineering Sciences","WIT Trans. Eng. Sci."
"Wasserwirtschaft Wassertechnik","Wasserwirtsch. Wassertech."
"Waste Management","Waste Manage. (Oxford)"
"Waste Management and Research","Waste Manage. Res."
"Waste and Biomass Valorization","Waste Biomass Valorization"
"Water Asset Management International","Water Asset Manage. Int."
"Water Environment Journal","Water Environ. J."
"Water Environment Research","Water Environ. Res."
"Water Intelligence Online","Water Intell. Online"
"Water International","Water Int."
"Water Policy","Water Policy"
"Water Practice Technology","Water Pract. Technol."
"Water Quality Research Journal of Canada","Water Qual. Res. J. Can."
"Water Quality and Ecosystems Modeling","Water Qual. Ecosyst. Model."
"Water Research","Water Res."
"Water Resources","Water Resour."
"Water Resources Investigations Report (united States Geological Survey)","Water Resour. Invest. Rep. U.S. Geol. Surv."
"Water Resources Management","Water Resour. Manage."
"Water Resources Research","Water Resour. Res."
"Water Science and Technology","Water Sci. Technol."
"Water Science and Technology Library","Water Sci. Technol. Lib."
"Water Science and Technology Water Supply","Water Sci. Technol. Water Supply"
"Water Utilities Management International","Water Util. Manage. Int."
"Water and Environmental Management","Water Environ. Manage."
"Water, Air, & Soil Pollution","Water Air Soil Pollut."
"Water, Air, & Soil Pollution: Focus","Water Air Soil Pollut. Focus"
"Wave Motion","Wave Motion"
"Waves in Random and Complex Media","Waves Random Complex Medium"
"Wein Wissenschaft","Wein Wiss."
"Weinwirtschaft Technik","Weinwirtsch. Tech."
"Welding International","Weld. Int."
"Werkstoffe und Korrosion","Werkst. Korros."
"West African Journal of Pharmacology and Drug Research","West Afr. J. Pharmacol. Drug Res."
"Wetlands Ecology and Management","Wetlands Ecol. Manage."
"Wiley Interdisciplinary Reviews: Climate Change","Wiley Interdiscip. Rev. Clim. Change"
"Wiley Interdisciplinary Reviews: Computational Statistics","Wiley Interdiscip. Rev. Comput. Stat."
"Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology","Wiley Interdiscip. Rev. Nanomed. Nanobiotechnol."
"Wiley Interdisciplinary Reviews: Systems Biology and Medicine","Wiley Interdiscip. Rev. Syst. Biol. Med."
"Wind Energy","Wind Energy"
"Wochenblatt fur Papierfabrikation","Wochenbl. Papierfabr."
"Wochenschrift fur Brauerei","Wochenschr. Brau."
"Wood Material Science & Engineering","Wood Mater. Sci. Eng."
"Wood Science and Technology","Wood Sci. Technol."
"Wood and Fiber Science","Wood Fiber Sci."
"World Journal of Microbiology and Biotechnology","World J. Microbiol. Biotechnol."
"World of Mining: Surface and Underground","World Min. Surf. Underground"
"World's Poultry Science Journal","World's Poult. Sci. J."
"X-Ray Spectrometry","X-Ray Spectrom."
