"""Brevia""","Brevia (Rome)"
"La Pensee et les hommes","Pensee Hommes"
"La Pharmacie industrielle","Pharm Ind"
"La Pie","Pie"
"La Prensa medica mexicana","Prensa Med Mex"
"La Presse medicale","Presse Med"
"La Presse thermale et climatique","Presse Therm Clim"
"La Promotion dentaire","Promot Dent"
"La Prophylaxie antivenerienne","Prophyl Antivenerienne"
"La Prophylaxie sanitaire et morale","Prophyl Sanit Morale"
"La Provence medicale","Prov Med"
"La Psychiatrie de l'enfant","Psychiatr Enfant"
"La Quintessenza","Quintessenza"
"La Radiologia medica","Radiol Med (Torino)"
"La Rassegna della letteratura italiana","Rass Lett Ital"
"La Rassegna di clinica, terapia e scienze affini","Rass Clin Ter"
"La Recherche","Recherche"
"La Revue de geographie de Montreal","Rev Geogr Montr"
"La Revue de geriatrie","Revue Geriatr"
"La Revue de medecine","Rev Med (Paris)"
"La Revue de medecine interne / fondee ... par la Societe nationale francaise de medecine interne","Rev Med Interne"
"La Revue de pediatrie","Rev Pediatr"
"La Revue des infirmieres et infirmiers auxiliaires du Quebec","Rev Infirm Infirm Aux Que"
"La Revue du Louvre et des musees de France","Rev Louvre Mus Fr"
"La Revue du praticien","Rev Prat"
"La Revue francaise d'endocrinologie clinique, nutrition, et metabolisme","Rev Fr Endocrinol Clin"
"La Revue francaise de la prothese dentaire","Rev Fr Prothese Dent"
"La Revue lyonnaise de medecine","Rev Lyon Med"
"La Revue medicale de Picardie","Rev Med Picardie"
"La Revue stomato-odontologique du nord de la France","Rev Stomatoodontol Nord Fr"
"La Ricerca in clinica e in laboratorio","Ric Clin Lab"
"La Ricerca scientifica","Ric Sci"
"La Ricerca scientifica. 2. ser., pt. 2: Rendiconti. Sezione B: Biologica","Ric Sci 2 Ser Pt 2 Rend [B]"
"La Ricerca scientifica. 2. ser., pt.1: Rivista","Ric Sci 2 Ser Pt 1 Riv"
"La Riforma medica","Riforma Med"
"La Sante publique","Sante Publique (Bucur)"
"La Semaine des hopitaux de Paris","Sem Hop Paris"
"La Semaine des hopitaux: therapeutique","Sem Hop Ther Paris"
"La Semaine medicale [medecine sociale. Edition: couverture jaune]","Sem Medicale Med Soc"
"La Semana medica","Sem Med"
"La Technique de l'eau et de l'assainissement","Tech Eau Assainissement"
"La Tribuna odontologica","Trib Odontol (B Aires)"
"La Tunisie medicale","Tunis Med"
"La Vie medicale au Canada francais","Vie Med Can Fr"
"La Vie medicale. Evolution medicale et therapeutique","Vie Med Evolut Med Ther"
"La Voix dentaire","Voix Dent"
"La chronique du CEPED / Centre francais sur la population et le developpement","Chron CEPED"
"La parola del passato","Parola Passato"
"La semaine des hopitaux : organe fonde par l'Association d'enseignement medical des hopitaux de Paris","Sem Hop"
"La tourbe des philosophes : revue d'etudes alchimiques","Tourbe Philos"
"La voix de la femme : magazine trimestriel d'information, d'education et de mobilisation de l'APDF","Voix Femme"
"Lab animal","Lab Anim (NY)"
"Lab on a chip","Lab Chip"
"Lab world","Lab World"
"Labor history","Labor Hist"
"Labor law journal","Labor Law J"
"Laboratornoe delo","Lab Delo"
"Laboratory and research methods in biology and medicine","Lab Res Methods Biol Med"
"Laboratory animal care","Lab Anim Care"
"Laboratory animal science","Lab Anim Sci"
"Laboratory animals","Lab Anim"
"Laboratory hematology : official publication of the International Society for Laboratory Hematology","Lab Hematol"
"Laboratory investigation; a journal of technical methods and pathology","Lab Invest"
"Laboratory medicine","Lab Med"
"Laboratory practice","Lab Pract"
"Labour (Committee on Canadian Labour History).","Labour"
"Labour and society","Labour Soc"
"Labour capital and society. Travail capital et societe","Labour Cap Soc"
"Labour history","Labour Hist"
"Laeknabladid","Laeknabladid"
"Lahey Clinic Foundation bulletin","Lahey Clin Found Bull"
"Lakartidningen","Lakartidningen"
"Lampada","Lampada"
"Lancet","Lancet"
"Lancet neurology","Lancet Neurol"
"Land and water law review","Land Water Law Rev"
"Land economics","Land Econ"
"Land use policy","Land use policy"
"Landscape","Landscape"
"Landscape and urban planning","Landsc Urban Plan"
"Langages","Langages"
"Langenbeck's archives of surgery / Deutsche Gesellschaft fur Chirurgie","Langenbecks Arch Surg"
"Langenbecks Archiv fur Chirurgie","Langenbecks Arch Chir"
"Langenbecks Archiv fur Chirurgie. Supplement II, Verhandlungen der Deutschen Gesellschaft fur Chirurgie. Deutsche Gesellschaft fur Chirurgie. Kongress","Langenbecks Arch Chir Suppl II Verh Dtsch Ges Chir"
"Langenbecks Archiv fur Chirurgie. Supplement. Kongressband. Deutsche Gesellschaft fur Chirurgie. Kongress","Langenbecks Arch Chir Suppl Kongressbd"
"Langenbecks Archiv fur klinische Chirurgie ... vereinigt mit Deutsche Zeitschrift fur Chirurgie","Langenbecks Arch Klin Chir Ver Dtsch Z Chir"
"Langmuir : the ACS journal of surfaces and colloids","Langmuir"
"Language & communication","Lang Commun"
"Language and cognitive processes","Lang Cogn Process"
"Language and speech","Lang Speech"
"Language, speech, and hearing services in schools","Lang Speech Hear Serv Sch"
"Laryngo- rhino- otologie","Laryngorhinootologie"
"Laryngologie, Rhinologie, Otologie","Laryngol Rhinol Otol (Stuttg)"
"Laser physics","Laser Phys"
"Lasers in medical science","Lasers Med Sci"
"Lasers in surgery and medicine","Lasers Surg Med"
"Lasers in surgery and medicine. Supplement","Lasers Surg Med Suppl"
"Lateinamerika","Lateinamerika"
"Laterality","Laterality"
"Latin American perspectives","Lat Am Perspect"
"Latin American population history bulletin","Lat Am Popul Hist Bull"
"Latin American population history newsletter","Lat Am Popul Hist News"
"Latin American research review","Lat Am Res Rev"
"Latomus","Latomus"
"Laundry news","Laund News"
"Laval medical","Laval Med"
"Lavori dell'Istituto di anatomia e istologia patologica, Universita degli studi di Perugia","Lav Ist Anat Istol Patol Univ Studi Perugia"
"Lavoro umano","Lav Um"
"Law & inequality","Law Inequal"
"Law & justice","Law Justice"
"Law & liberty","Law Lib"
"Law & policy","Law Policy"
"Law & policy quarterly","Law Policy Q"
"Law & social inquiry : journal of the American Bar Foundation","Law Soc Inq"
"Law & society review","Law Soc Rev"
"Law Institute journal : the official organ of the Law Institute of Victoria","Law Inst J"
"Law and contemporary problems","Law Contemp Probl"
"Law and human behavior","Law Hum Behav"
"Law and mental health","Law Ment Health"
"Law and philosophy","Law Philos"
"Law and policy in international business","Law Policy Int Bus"
"Law and psychology review","Law Psychol Rev"
"Law file","Law File"
"Law in context (Bundoora, Vic.)","Law Context"
"Law library journal","Law Libr J"
"Law, medicine & health care : a publication of the American Society of Law & Medicine","Law Med Health Care"
"Law-medicine news","Law Med News"
"Laws / passed by the ... General Assembly of the state of Illinois at their ... session ... Illinois","Laws Ill"
"Laws of Puerto Rico annotated. Puerto Rico","Laws P R Annot P R"
"Laws of the state of New Mexico. New Mexico","Laws State N M N M"
"Laws of the state of Oregon / enacted during the ... session of the Legislative Assembly, begun ... concluded ... Oregon","Laws State Or Or"
"Le Centre-est medical","Cent Est Med"
"Le Chirurgien-dentiste de France","Chir Dent Fr"
"Le Contrat social","Contrat Soc"
"Le Corps medical","Corps Med (Ettelbruck)"
"Le Courrier de l'Unesco","Courr Unesco"
"Le Debat","Debat"
"Le Developpement voltaique","Dev Volta"
"Le Diabete","Diabete"
"Le Journal dentaire belge. Belgisch blad voor tandheelkunde","J Dent Belge"
"Le Journal dentaire du Quebec","J Dent Que"
"Le Journal medical libanais. The Lebanese medical journal","J Med Liban"
"Le Lait","Lait"
"Le Livre et l'estampe","Livre Estampe"
"Le Mali medical","Mali Med"
"Le Medecin d'usine; revue d'hygiene industrielle et des maladies professionnelles","Med Usine Rev Hyg Ind Mal Prof"
"Le Medecin de reserve","Med Reserve (Paris)"
"Le Medecin generaliste de France","Med Gen Fr"
"Le Medecin libre","Med Libre"
"Le Monde alpin et rhodanien","Monde Alp Rhodan"
"Le Moniteur des pharmacies et des laboratoires","Monit Pharm Lab"
"Le Mouvement social","Mouv Soc"
"Le Museon","Museon"
"Le Nourrisson","Nourrisson"
"Le Pharmacien biologiste","Pharm Biol"
"Le Poumon","Poumon"
"Le Poumon et le coeur","Poumon Coeur"
"Le Progres medical","Progr Med (Paris)"
"Le Progres odonto-stomatologique","Prog Odontostomatol"
"Le Saguenay medical","Saguenay Med"
"Le Sang","Sang"
"Le Scalpel","Scalpel (Brux)"
"Le Sud medical et chirurgical","Sud Med Chir"
"Le Technicien belge en prothese dentaire","Tech Belge Prothese Dent"
"Le Travail humain","Trav Hum"
"Le courrier des pays de l'Est / publie avec le concours du Centre de documentation sur l'U.R.S.S. et les pays slaves de l'Ecole pratique des hautes etudes","Courr Pays Est"
"Le infezioni in medicina : rivista periodica di eziologia, epidemiologia, diagnostica, clinica e terapia delle patologie infettive","Infez Med"
"Le monde dentaire","Monde Dent"
"League exchange","League Exch"
"League lines","League Lines"
"Learning & behavior : a Psychonomic Society publication","Learn Behav"
"Learning & memory (Cold Spring Harbor, N.Y.)","Learn Mem"
"Learning and motivation","Learn Motiv"
"Learning disabilities research & practice : a publication of the Division for Learning Disabilities, Council for Exceptional Children","Learn Disabil Res Pract"
"Lebensmittel-Wissenschaft + [i.e. und] Technologie. Food science + technology. Science + technologie alimentaire","Lebenson Wiss Technol"
"Lebensversicherungs Medizin","Lebensversicher Med"
"Leber, Magen, Darm","Leber Magen Darm"
"Lecture notes in computer science","Lect Notes Comput Sci"
"Lectures on the scientific basis of medicine","Lect Sci Basis Med"
"Leeds Dental Journal","Leeds Dent J"
"Legal aspects of medical practice","Leg Aspects Med Pract"
"Legal ethics (Oxford, England)","Leg Ethics"
"Legal medical quarterly","Leg Med Q"
"Legal medicine","Leg Med"
"Legal medicine (Tokyo, Japan)","Leg Med (Tokyo)"
"Legal medicine annual","Leg Med Annu"
"Legal reference services quarterly","Legal Ref Serv Q"
"Legal studies (Society of Legal Scholars)","Leg Stud (Soc Leg Scholars)"
"Legal studies (Society of Public Teachers of Law)","Leg Stud"
"Lege artis medicinae : uj magyar orvosi hirmondo","Lege Artis Med"
"Lekarska veda v zahranici","Lek Veda Zahr"
"Lekarske listy","Lek List"
"Lekarske prace","Lek Pr"
"Lekarsky obzor","Lek Obz"
"Lekarz wojskowy","Lek Wojsk"
"Lemouzi","Lemouzi"
"Lens and eye toxicity research","Lens Eye Toxic Res"
"Lens research","Lens Res"
"Leodium","Leodium"
"Leopoldina","Leopoldina"
"Leprosy in India","Lepr India"
"Leprosy review","Lepr Rev"
"Les Annales d'oto-laryngologie","Ann Otolaryngol"
"Les Annales de l'I.F.O.R.D","Ann IFORD"
"Les Annales homeopathiques francaises","Ann Homeopath Fr"
"Les Bronches","Bronches"
"Les Cahiers de Fontenay","Cah Fontenay"
"Les Cahiers de l'Alliance israelite universelle","Cah All Isr Univers"
"Les Cahiers de l'Iroise","Cah Iroise"
"Les Cahiers de l'Orient","Cah Orient"
"Les Cahiers de l'analyse des donnees","Cah Anal Donnees"
"Les Cahiers de la recherche architecturale","Cah Rech Archit"
"Les Cahiers de medecine","Cah Med"
"Les Cahiers de medecine veterinaire","Cah Med Vet"
"Les Cahiers de prothese","Cah Prothese"
"Les Cahiers des Dix. Les Dix","Cah Dix"
"Les Cahiers du College de medecine des hopitaux de Paris","Cah Coll Med Hop Paris"
"Les Cahiers haut-marnais","Cah Haut Marnais"
"Les Cahiers lorrains","Cah Lorrains"
"Les Cahiers rationalistes","Cah Ration"
"Les Revues medicales normandes","Rev Med Normandes"
"Les cahiers d'outre-mer","Cah O M"
"Les cahiers de Tunisie","Cah Tunis"
"Les cahiers du nursing","Cah Nurs"
"Les entretiens de Bichat. Medecine. Entretiens de Bichat","Entret Bichat Med Entret Bichat"
"Les temps modernes","Temps Mod"
"Lethaia","Lethaia"
"Lettere italiane","Lett Ital"
"Letters in applied microbiology","Lett Appl Microbiol"
"Letters in drug design & discovery","Lett Drug Des Discov"
"Leukemia & lymphoma","Leuk Lymphoma"
"Leukemia : official journal of the Leukemia Society of America, Leukemia Research Fund, U.K","Leukemia"
"Leukemia research","Leuk Res"
"Leuvensche bijdragen","Leuvense Bijdr"
"Leveltari kozlemenyek","Leveltari Kozl"
"Leveltari szemle","Leveltari Sz"
"Lex et scientia","Lex Sci"
"Leyte-Samar studies","Leyte Samar Stud"
"Lias","Lias"
"Liberation (New York, N.Y.)","Liberation"
"Liberian studies journal","Liberian Stud J"
"Liberty, life, and family","Lib Life Fam"
"Libraries & culture","Libr Cult"
"Library Association record. Library Association","Libr Assoc Rec"
"Library chronicle","Libr Chron"
"Library history","Libr Hist"
"Library journal","Libr J"
"Library resources & technical services","Libr Resour Tech Serv"
"Library review. Great Britain. Forestry Commission","Libr Rev (Lond)"
"Library science with a slant to documentation","Lib Sci Slant Doc"
"Library technology reports","Libr Technol Rep"
"Library trends","Libr Trends"
"Lichenologist (London, England)","Lichenologist"
"Lietuvos TSR aukstuju mokyklu mokslo darbai: Biologija","Liet Tsr Aukst Mokyklu Mokslo Darb"
"Lietuvos istorijos metrastis","Liet Istor Metrast"
"Life (Chicago, Ill. : 1978)","Life"
"Life science advances","Life Sci Adv"
"Life science advances. Experimental and clinical endocrinology : a journal of the Council of Scientific Research Integration","Life Sci Adv Exp Clin Endocrinol"
"Life science advances. Plant physiology : a journal of the Council of Scientific Research Integration","Life Sci Adv Plant Physiol"
"Life sciences","Life Sci"
"Life sciences and space research","Life Sci Space Res"
"Life sciences. Pt. 1: Physiology and pharmacology","Life Sci I"
"Life sciences. Pt. 2: Biochemistry, general and molecular biology","Life Sci II"
"Life support & biosphere science : international journal of earth space","Life Support Biosph Sci"
"Life support systems : the journal of the European Society for Artificial Organs","Life Support Syst"
"Life-threatening behavior","Life Threat Behav"
"Lifelong learning, the adult years / Adult Education Association of the United States of America","Lifelong Learn Adult Years"
"Lifetime data analysis","Lifetime Data Anal"
"Ligament","Ligament"
"Liguorian","Liguorian"
"Lijecnicki vjesnik","Lijec Vjesn"
"Likars'ka sprava / Ministerstvo okhorony zdorov'ia Ukrainy","Lik Sprava"
"Lilith (Fitzroy, Vic.)","Lilith"
"Lille chirurgical","Lille Chir"
"Lille medical : journal de la Faculte de medecine et de pharmacie de l'Universite de Lille","Lille Med"
"Limburg","Limburg"
"Limnology and oceanography","Limnol Oceanogr"
"Lincoln herald","Linc Her"
"Lincoln law review (San Francisco, Calif.)","Linc Law Rev"
"Lincoln review (Washington, D.C.)","Lincoln Rev"
"Linen supply news","Linen Supply News"
"Lingua nostra","Lingua Nostra"
"Lingua. International review of general linguistics. Revue internationale de linguistique generale","Lingua"
"Linguistic inquiry (Online)","Linguist Inq"
"Linguistics and philosophy","Linguist Philos"
"Links (New York, N.Y.)","Links"
"Lipids","Lipids"
"Lipids in health and disease","Lipids Health Dis"
"Lippincott's case management : managing the process of patient care","Lippincotts Case Manag"
"Lippincott's primary care practice","Lippincotts Prim Care Pract"
"Lippische Mitteilungen aus Geschichte und Landeskunde","Lipp Mitt Gesch Landeskd"
"Lishi yanjiu","Lishi Yanjiu"
"Listener (London, England : 1967)","Listener"
"Listening","Listening"
"Literacy discussion","Lit Discuss"
"Literatur-Eildienst ""Roche.""","Lit Eildienst Roche"
"Literatura (San Sebastian, Spain)","Literatura"
"Literature & history","Lit Hist"
"Literature and medicine","Lit Med"
"Litterature, medecine, societe","Litt Med Soc"
"Lituanus","Lituanus"
"Liver","Liver"
"Liver international : official journal of the International Association for the Study of the Liver","Liver Int"
"Liver transplantation : official publication of the American Association for the Study of Liver Diseases and the International Liver Transplantation Society","Liver Transpl"
